

############################ Log - Start ############################
# Log initialized at: 10/21/13 16:48:19
Time	Real temperature	Average temperature	Setpoint temperature
0.000	19.700	19.700	20.000
1.060	19.800	19.750	20.000
2.226	19.700	19.725	20.000
3.309	19.800	19.717	20.000

# Log finished at: 10/22/13 10:11:01
############################ Log - End ############################

############################ Log - Start ############################
# Log initialized at: 10/22/13 10:11:08
Time	Real temperature	Average temperature	Setpoint temperature
0.000	19.900	19.900	20.000
1.041	19.900	19.900	20.000
2.080	19.800	19.825	20.000

# Log finished at: 10/22/13 10:11:11
############################ Log - End ############################

############################ Log - Start ############################
# Log initialized at: 10/22/13 10:11:31
Time	Real temperature	Average temperature	Setpoint temperature
0.000	20.100	20.100	20.000
1.086	20.100	20.100	20.000
2.235	20.200	20.150	20.000
3.267	20.300	20.200	20.000
4.340	20.200	20.200	20.000
5.372	20.100	20.190	20.000
6.429	20.200	20.191	20.000
7.583	20.000	20.169	20.000
8.665	19.900	20.140	20.000
9.759	19.900	20.112	20.000
10.798	20.200	20.116	20.000
11.889	20.000	20.110	20.000
12.967	19.900	20.091	20.000
14.007	20.000	20.087	20.000
15.039	20.000	20.081	20.000
16.084	19.900	20.071	20.000
17.178	20.100	20.070	20.000
18.209	20.000	20.066	20.000
19.300	20.000	20.062	20.000
20.332	20.100	20.063	20.000
21.378	20.100	20.065	20.000
22.489	20.000	20.064	20.000
23.521	20.000	20.061	20.000
24.609	19.900	20.053	20.000
25.648	20.000	20.052	20.000
26.751	20.100	20.052	20.000
27.806	20.000	20.050	20.000
28.851	20.200	20.054	20.000
29.982	20.100	20.058	20.000
31.039	20.000	20.057	20.000
32.071	20.000	20.054	20.000
33.190	19.900	20.048	20.000
34.235	20.000	20.047	20.000

# Log finished at: 10/22/13 10:12:06
############################ Log - End ############################

############################ Log - Start ############################
# Log initialized at: 10/22/13 10:12:33
Time	Real temperature	Average temperature	Setpoint temperature
0.000	20.100	20.100	20.000
1.139	20.200	20.150	20.000
2.287	20.200	20.175	20.000
3.365	20.200	20.167	20.000
4.441	20.200	20.188	20.000
5.482	20.100	20.180	20.000
6.566	20.100	20.167	20.000

# Log finished at: 10/22/13 10:12:42
############################ Log - End ############################
7.599	20.100	20.157	20.000

############################ Log - Start ############################
# Log initialized at: 10/22/13 10:13:20
Time	Real temperature	Average temperature	Setpoint temperature
0.000	19.900	19.900	20.000
1.103	19.900	19.850	20.000
2.162	19.900	19.875	20.000
3.205	20.000	19.917	20.000
4.334	20.100	19.962	20.000
5.388	20.000	19.970	20.000
6.481	19.900	19.964	20.000
7.526	19.900	19.962	20.000
8.579	20.000	19.967	20.000
9.640	20.000	19.971	20.000

# Log finished at: 10/22/13 10:13:31
############################ Log - End ############################

############################ Log - Start ############################
# Log initialized at: 10/22/13 10:15:45
Time	Real temperature	Average temperature	Setpoint temperature
0.000	20.000	20.000	20.000
1.108	20.000	20.000	20.000
2.213	20.000	20.000	20.000
3.249	20.000	20.000	20.000
4.323	20.000	20.000	20.000
5.367	20.000	20.000	20.000
6.399	20.000	20.000	20.000
7.503	19.900	19.992	20.000
8.534	19.900	19.987	20.000
9.611	19.900	19.982	20.000
10.696	19.900	19.979	20.000
11.782	20.000	19.976	20.000
12.812	20.000	19.977	20.000
13.881	20.000	19.979	20.000
14.998	20.000	19.981	20.000
16.040	20.000	19.982	20.000
17.199	19.900	19.980	20.000
18.245	19.900	19.975	20.000
19.312	20.000	19.976	20.000
20.366	20.000	19.977	20.000
21.465	20.100	19.981	20.000
22.535	20.200	19.992	20.000
23.567	20.200	20.005	20.000
24.704	20.200	20.014	20.000
25.741	20.300	20.020	20.000
26.818	20.300	20.035	20.000
27.850	20.300	20.046	20.000
28.900	20.300	20.056	20.000
30.018	20.300	20.065	20.000
31.050	20.300	20.070	20.000
32.158	20.200	20.076	20.000
33.193	20.200	20.081	20.000
34.263	20.200	20.085	20.000

# Log finished at: 10/22/13 10:16:20
############################ Log - End ############################

############################ Log - Start ############################
# Log initialized at: 10/22/13 10:27:33
